City,costofLivingIndex,rentIndex,costOfLivingPlusRentIndex,groceriesIndex,restaurantPriceIndex,LocalPurchasingPowerIndex
"Brooklyn, NY, United States",95.33,77.42,86.6,93.5,101.69,87.26
"New York, NY, United States",100,100,100,100,100,100
"Miami, FL, United States",87.28,62.61,75.26,88.53,97.66,96
"San Francisco, CA, United States",99.14,113.26,106.02,109.37,91.5,98.37
"Santa Barbara, CA, United States",79.08,69.87,74.59,75.63,89.76,135
"Portland, ME, United States",82.07,40.95,62.03,87.69,89.02,112.66
"Anchorage, AK, United States",97.5,40.09,69.52,103.43,88.59,122.31
"Hartford, CT, United States",81.58,41.66,62.13,77.12,88.2,102.85
"Queens, NY, United States",80.17,62.76,71.69,73.47,87,114.75
"New Haven, CT, United States",84.8,46.88,66.32,93.65,86.93,126.85
"Jersey City, NJ, United States",80.6,65.21,73.1,80.17,86.87,135.27
"Washington, DC, United States",91.96,71.7,82.09,91.4,86.1,119.57
"New Orleans, LA, United States",77.69,40.3,59.47,76.06,85.95,112.21
"Boston, MA, United States",86.61,75.85,81.37,88.27,84.9,103.21
"Honolulu, HI, United States",94.98,62.73,79.26,105.56,84.54,101.78
"San Jose, CA, United States",84.12,81.45,82.81,86.99,84.5,149.62
"Seattle, WA, United States",90.04,65.37,78.02,93.11,84.07,146.4
"St. John's, NL, Canada",83.07,22.45,53.53,87,84.05,97.99
"Arlington, VA, United States",90.35,61.13,76.11,89.25,83.51,119.56
"Los Angeles, CA, United States",82.86,68.25,75.74,83.02,83.39,108.92
"Bellevue, WA, United States",90.5,63.3,77.24,91.44,83.32,73.82
"San Diego, CA, United States",77.92,60.7,69.53,75.37,83.2,150
"Oakland, CA, United States",85.38,78.86,82.2,88.29,82.22,106.78
"Olympia, WA, United States",79.98,37.23,59.15,76.76,81.68,122.66
"Guelph, Canada",74.2,28.78,52.07,70.08,81.65,113.77
"Denver, CO, United States",78.39,53.77,66.39,78.8,81.33,125.14
"Tampa, FL, United States",79,41.1,60.53,84.49,81.07,148.64
"Burlington, Canada",75.92,34.4,55.69,70.05,80.84,144.18
"Baltimore, MD, United States",78.12,43.87,61.43,77.23,80.53,115.87
"Norfolk, VA, United States",81.48,43.27,62.86,89.29,80.51,64.27
"Burlington, VT, United States",79.56,41.48,61,82.73,80.26,100.57
"Santa Rosa, CA, United States",93.13,58.87,76.44,96.99,79.79,118.25
"West Palm Beach, FL, United States",77.23,41.77,59.95,80.26,79.76,123.46
"Berkeley, CA, United States",88.92,77.2,83.21,98.6,79.74,115.34
"Philadelphia, PA, United States",83.43,47.09,65.72,81.25,79.27,116.46
"Long Beach, CA, United States",79.34,55.48,67.71,83.47,79.08,125.08
"Newark, NJ, United States",73.38,39.97,57.1,67.03,78.7,93.42
"Red Deer, Canada",77.41,25.85,52.29,70.32,78.48,135.6
"Barrie, Canada",80.35,27.87,54.78,80.78,78.46,127.19
"Bellingham, WA, United States",78.24,34.3,56.83,80.84,78.43,129.88
"Halifax, Canada",83.03,29.26,56.83,88.51,78.3,101.52
"Charlotte, NC, United States",76.98,40,58.96,80.07,77.86,109.99
"Chicago, IL, United States",82.27,55.41,69.18,82.54,77.73,125.29
"Fort Lauderdale, FL, United States",78.11,50.62,64.71,79.72,77.73,101.96
"Irvine, CA, United States",86.31,66,76.41,91.56,77.3,135.82
"Colorado Springs, CO, United States",77.02,31,54.59,73.54,77.3,147.86
"Austin, TX, United States",74.2,49.82,62.32,75.22,76.93,136.82
"Minneapolis, MN, United States",81.3,44.64,63.44,86.27,76.88,135.88
"Boulder, CO, United States",83.51,53.28,68.78,87.46,76.85,141.47
"Fresno, CA, United States",73,30.64,52.36,73.12,76.7,110.01
"Calgary, Canada",77.62,31.96,55.37,74.69,76.56,143.04
"Saint Petersburg, FL, United States",73.95,41.15,57.97,74.87,76.55,142.33
"Bloomington, IN, United States",94.23,32.7,64.24,117.7,76.24,100.41
"Thunder Bay, Canada",81.76,25.74,54.46,79.1,76.09,92.79
"Edmonton, Canada",76.82,31.95,54.96,74.7,76,132.31
"Buffalo, NY, United States",73.35,29.15,51.81,70.53,75.85,121.77
"Melbourne, FL, United States",76.33,30.04,53.77,84.15,75.75,128.19
