state_name,city,medianHouseholdIncome
Ohio,Hunting Valley village,250000
Ohio,The Village of Indian Hill city,205221
Ohio,New Albany city,191375
Ohio,Bentleyville village,173250
Ohio,Pepper Pike city,164471
Ohio,Coldstream CDP,151765
Ohio,Terrace Park village,145625
Ohio,Concorde Hills CDP,144036
Ohio,Moreland Hills village,139539
Ohio,Dry Run CDP,137543
Ohio,Hills and Dales village,135313
Ohio,Powell city,132917
Ohio,Gates Mills village,132167
Ohio,Waite Hill village,131875
Ohio,New California CDP,128000
Ohio,Hudson city,126618
Ohio,Dublin city,125540
Ohio,Wyoming city,120676
Ohio,Wetherington CDP,120530
Ohio|Hide|A,Hide-A-Way Hills CDP,120347
Ohio,Ottawa Hills village,118700
Ohio,Kirtland Hills village,116875
Ohio,Dunlap CDP,116667
Ohio,Amberley village,115703
Ohio,Turpin Hills CDP,114973
Ohio,Evendale village,113875
Ohio,Choctaw Lake CDP,112731
Ohio,Granville South CDP,110833
Ohio,Riverlea village,109688
Ohio,Montgomery city,108469
Ohio,Five Points CDP,108304
Ohio,South Russell village,107250
Ohio,Four Bridges CDP,105000
Ohio,Boston Heights village,103603
Ohio,Bainbridge CDP,103208
Ohio,Marble Cliff village,102917
Ohio,Kings Mills CDP,102768
Ohio,Orange village,102109
Ohio,Upper Arlington city,102094
Ohio|Montrose,Montrose-Ghent CDP,101884
Ohio,Highland Heights city,101875
Ohio,Bexley city,101736
Ohio,Sugar Bush Knolls village,101250
Ohio,Springboro city,99364
Ohio,Blue Jay CDP,99107
Ohio,Brecksville city,98345
Ohio,Shawnee Hills village,97813
Ohio,Solon city,96976
Ohio,Glendale village,96964
Ohio,Oakwood city,96790
Ohio,Grandview Heights city,95938
Ohio,Silver Lake village,94500
Ohio,Raymond CDP,94423
Ohio,Peninsula village,94167
Ohio,Bay Village city,93220
Ohio,Mason city,92819
Ohio,Hilliard city,92727
Ohio,Mariemont village,92216
Ohio,Granville village,92109
Ohio,Madeira city,91810
Ohio,Worthington city,91075
Ohio,Avon city,90846
Ohio,Sherwood CDP,90139
Ohio,Delhi Hills CDP,89632
Ohio,Beechwood Trails CDP,88478
Ohio,Beachwood city,88287
Ohio,Commercial Point village,87438
Ohio,Darrtown CDP,87422
Ohio,Curtice CDP,87417
Ohio,Glenwillow village,87375
