state_name,city,medianHouseholdIncome
California,Atherton town,250000
California,Ladera CDP,250000
California,Lake Sherwood CDP,250000
Connecticut,Cannondale CDP,250000
Kansas,Elmdale city,250000
Maryland,Chevy Chase town,250000
Maryland,Chevy Chase Section Five village,250000
Maryland,Chevy Chase Village town,250000
Maryland,Martin's Additions village,250000
Maryland,Somerset town,250000
Michigan,Barton Hills village,250000
Missouri,Country Life Acres village,250000
New Jersey,Short Hills CDP,250000
New York,Hewlett Bay Park village,250000
New York,Scarsdale village,250000
North Dakota,Briarwood city,250000
Ohio,Hunting Valley village,250000
Oregon,Pronghorn CDP,250000
Oregon,Tetherow CDP,250000
Texas,Hunters Creek Village city,250000
Texas,Piney Point Village city,250000
Texas,Westlake town,250000
Colorado,Crisman CDP,248920
Florida,Jupiter Island town,248750
Kansas,Mission Hills city,246528
Maryland,Chevy Chase Section Three village,245625
Maryland,Chevy Chase View town,243750
California,Los Altos Hills town,243701
Florida,Lazy Lake village,242813
New York,Brookville village,237083
California,Portola Valley town,232981
New York,Sands Point village,231667
Virginia,Great Falls CDP,230304
Colorado,Pine Brook Hill CDP,229091
New York,Plandome village,228409
Indiana,North Crows Nest town,226250
New York,Upper Brookville village,226250
Colorado,Cherry Hills Village city,224125
Connecticut,Old Greenwich CDP,224009
California,Woodside town,223934
California,Norris Canyon CDP,223542
Kentucky,Glenview city,223438
New York,Lloyd Harbor village,223036
New York,Munsey Park village,222083
Texas,Bunker Hill Village city,221824
Colorado,Castle Pines Village CDP,221071
Texas,West University Place city,220868
California,Rolling Hills city,220764
New York,Belle Terre village,220536
Texas,Hill Country Village city,219375
New York,Laurel Hollow village,218750
Pennsylvania,Sewickley Heights borough,218750
California,Hillsborough town,216292
New York,Muttontown village,216042
Maryland,Travilah CDP,215688
Washington,Yarrow Point town,213750
Maryland,Highland CDP,212955
Virginia,Wolf Trap CDP,212489
New Jersey,Strathmere CDP,212188
California,Hidden Hills city,211250
Illinois,Kenilworth village,211023
New York,Hewlett Harbor village,210750
Connecticut,Fenwick borough,210625
New York,Hewlett Neck village,209583
New York,Old Field village,209583
