id,value
Chief Executives,194350
General and Operations Managers,122090
Legislators,44820
Advertising and Promotions Managers,117810
Marketing Managers,144140
Sales Managers,135090
Public Relations and Fundraising Managers,123360
Administrative Services Managers,98930
Computer and Information Systems Managers,145740
Financial Managers,139720
Industrial Production Managers,107060
Purchasing Managers,117720
"Transportation, Storage, and Distribution Managers",97630
Compensation and Benefits Managers,126900
Human Resources Managers,120210
Training and Development Managers,115180
"Farmers, Ranchers, and Other Agricultural Managers",75790
Construction Managers,99510
"Education Administrators, Preschool and Childcare Center/Program",52150
"Education Administrators, Elementary and Secondary School",95390
"Education Administrators, Postsecondary",105770
"Education Administrators, All Other",84400
Architectural and Engineering Managers,143870
Food Service Managers,56010
Funeral Service Managers,88970
Gaming Managers,79690
Lodging Managers,59410
Medical and Health Services Managers,109370
Natural Sciences Managers,136150
Postmasters and Mail Superintendents,71980
"Property, Real Estate, and Community Association Managers",70290
Social and Community Service Managers,70870
Emergency Management Directors,78060
"Managers, All Other",112150
"Agents and Business Managers of Artists, Performers, and Athletes",86560
"Buyers and Purchasing Agents, Farm Products",63910
"Wholesale and Retail Buyers, Except Farm Products",60040
"Purchasing Agents, Except Wholesale, Retail, and Farm Products",67420
"Claims Adjusters, Examiners, and Investigators",64990
"Insurance Appraisers, Auto Damage",65930
Compliance Officers,70250
Cost Estimators,66620
Human Resources Specialists,64890
Farm Labor Contractors,47290
Labor Relations Specialists,64250
Logisticians,77810
Management Analysts,91910
"Meeting, Convention, and Event Planners",52020
Fundraisers,57930
"Compensation, Benefits, and Job Analysis Specialists",66490
Training and Development Specialists,63350
Market Research Analysts and Marketing Specialists,70620
"Business Operations Specialists, All Other",74870
Accountants and Auditors,76730
Appraisers and Assessors of Real Estate,58030
Budget Analysts,77170
Credit Analysts,81160
Financial Analysts,97640
Personal Financial Advisors,123100
Insurance Underwriters,75480
Financial Examiners,88940
Credit Counselors,49480
Loan Officers,76260
"Tax Examiners and Collectors, and Revenue Agents",57950
Tax Preparers,45340
"Financial Specialists, All Other",76230
Computer and Information Research Scientists,116320
Computer Systems Analysts,91620
Information Security Analysts,96040
Computer Programmers,85180
"Software Developers, Applications",104300
"Software Developers, Systems Software",110590
Web Developers,72150
Database Administrators,87130
Network and Computer Systems Administrators,84500
Computer Network Architects,104240
Computer User Support Specialists,53100
Computer Network Support Specialists,67770
"Computer Occupations, All Other",88880
Actuaries,114120
Mathematicians,105600
Operations Research Analysts,84340
Statisticians,85160
Mathematical Technicians,58490
"Mathematical Science Occupations, All Other",77550
"Architects, Except Landscape and Naval",84470
Landscape Architects,68820
Cartographers and Photogrammetrists,66160
Surveyors,63480
Aerospace Engineers,112010
Agricultural Engineers,77330
Biomedical Engineers,89970
Chemical Engineers,105420
Civil Engineers,89730
Computer Hardware Engineers,118700
Electrical Engineers,98620
"Electronics Engineers, Except Computer",103760
Environmental Engineers,88530
"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",90190
Industrial Engineers,88530
Marine Engineers and Naval Architects,99860
Materials Engineers,97050
Mechanical Engineers,89800
"Mining and Geological Engineers, Including Mining Safety Engineers",103010
Nuclear Engineers,105950
Petroleum Engineers,147030
"Engineers, All Other",99250
Architectural and Civil Drafters,54290
Electrical and Electronics Drafters,63390
Mechanical Drafters,57480
"Drafters, All Other",54410
Aerospace Engineering and Operations Technicians,71070
Civil Engineering Technicians,52120
Electrical and Electronics Engineering Technicians,62950
Electro-Mechanical Technicians,57860
Environmental Engineering Technicians,52500
Industrial Engineering Technicians,56920
Mechanical Engineering Technicians,57180
"Engineering Technicians, Except Drafters, All Other",64050
Surveying and Mapping Technicians,45490
Animal Scientists,72890
Food Scientists and Technologists,71270
Soil and Plant Scientists,69290
Biochemists and Biophysicists,94340
Microbiologists,76850
Zoologists and Wildlife Biologists,64890
"Biological Scientists, All Other",77830
Conservation Scientists,65130
Foresters,60300
Epidemiologists,77720
"Medical Scientists, Except Epidemiologists",95000
"Life Scientists, All Other",83150
Astronomers,110380
Physicists,121770
Atmospheric and Space Scientists,94840
Chemists,80820
Materials Scientists,101570
"Environmental Scientists and Specialists, Including Health",75360
"Geoscientists, Except Hydrologists and Geographers",106390
Hydrologists,83740
"Physical Scientists, All Other",98460
Economists,112860
Survey Researchers,59950
"Clinical, Counseling, and School Psychologists",78690
Industrial-Organizational Psychologists,104570
"Psychologists, All Other",94650
Sociologists,86840
Urban and Regional Planners,73060
Anthropologists and Archeologists,66440
Geographers,74090
Historians,60990
Political Scientists,112250
"Social Scientists and Related Workers, All Other",80860
Agricultural and Food Science Technicians,40470
Biological Technicians,46130
Chemical Technicians,49770
Geological and Petroleum Technicians,62240
Nuclear Technicians,77820
Social Science Research Assistants,46820
"Environmental Science and Protection Technicians, Including Health",47930
Forensic Science Technicians,60690
Forest and Conservation Technicians,38630
"Life, Physical, and Social Science Technicians, All Other",49270
Substance Abuse and Behavioral Disorder Counselors,44160
"Educational, Guidance, School, and Vocational Counselors",57620
Marriage and Family Therapists,54090
Mental Health Counselors,46050
Rehabilitation Counselors,38740
"Counselors, All Other",47640
"Child, Family, and School Social Workers",47510
Healthcare Social Workers,55510
Mental Health and Substance Abuse Social Workers,47880
"Social Workers, All Other",59410
Health Educators,57900
Probation Officers and Correctional Treatment Specialists,55380
Social and Human Service Assistants,34120
Community Health Workers,41170
"Community and Social Service Specialists, All Other",45540
Clergy,49450
"Directors, Religious Activities and Education",44840
"Religious Workers, All Other",34300
Lawyers,139880
Judicial Law Clerks,59840
"Administrative Law Judges, Adjudicators, and Hearing Officers",95240
"Arbitrators, Mediators, and Conciliators",72730
"Judges, Magistrate Judges, and Magistrates",115460
Paralegals and Legal Assistants,53180
Court Reporters,56940
"Title Examiners, Abstractors, and Searchers",51490
"Legal Support Workers, All Other",66170
