occupation,numberEmployed,averageSalary,
Anesthesiologists,30190,269600,
Surgeons,41190,252910,
Obstetricians and Gynecologists,19800,234310,
Oral and Maxillofacial Surgeons,5380,232870,
Orthodontists,5200,228780,
"Physicians and Surgeons, All Other",338620,205560,
"Internists, General",45290,201840,
Family and General Practitioners,122970,200810,
Psychiatrists,24820,200220,
Chief Executives,223260,194350,
"Pediatricians, General",26960,184240,
"Dentists, General",105620,173860,
"Dentists, All Other Specialists",5380,171900,
Prosthodontists,750,168140,
Nurse Anesthetists,39860,164030,
"Airline Pilots, Copilots, and Flight Engineers",81520,152770,
Petroleum Engineers,32780,147030,
Computer and Information Systems Managers,352510,145740,
Marketing Managers,205900,144140,
Podiatrists,9800,144110,
Architectural and Engineering Managers,178390,143870,
Lawyers,619530,139880,
Financial Managers,543300,139720,
Natural Sciences Managers,54780,136150,
Sales Managers,365230,135090,
"Law Teachers, Postsecondary",16010,134530,
Compensation and Benefits Managers,15230,126900,
"Health Specialties Teachers, Postsecondary",186740,125430,
Public Relations and Fundraising Managers,63970,123360,
Personal Financial Advisors,201850,123100,
General and Operations Managers,2188870,122090,
Physicists,16680,121770,
Pharmacists,305510,120270,
Human Resources Managers,129810,120210,
Computer Hardware Engineers,72950,118700,
Air Traffic Controllers,23240,118200,
Advertising and Promotions Managers,28860,117810,
Purchasing Managers,71750,117720,
Optometrists,36430,117580,
Computer and Information Research Scientists,26580,116320,
"Judges, Magistrate Judges, and Magistrates",27210,115460,
Training and Development Managers,32880,115180,
Actuaries,19940,114120,
Economists,19380,112860,
Political Scientists,6350,112250,
"Managers, All Other",403670,112150,
Aerospace Engineers,68510,112010,
"Economics Teachers, Postsecondary",13060,111520,
"Software Developers, Systems Software",409820,110590,
Astronomers,1830,110380,
Medical and Health Services Managers,332150,109370,
Sales Engineers,74330,108880,
"Engineering Teachers, Postsecondary",38000,107490,
Industrial Production Managers,168400,107060,
"Geoscientists, Except Hydrologists and Geographers",30420,106390,
Nuclear Engineers,17680,105950,
"Education Administrators, Postsecondary",138430,105770,
Mathematicians,2730,105600,
Chemical Engineers,31990,105420,
Nurse Practitioners,150230,104610,
Industrial-Organizational Psychologists,1020,104570,
"Software Developers, Applications",794000,104300,
Computer Network Architects,157070,104240,
"Electronics Engineers, Except Computer",132100,103760,
"Mining and Geological Engineers, Including Mining Safety Engineers",6940,103010,
Nurse Midwives,6270,102390,
"Securities, Commodities, and Financial Services Sales Agents",353780,102260,
Physician Assistants,104050,102090,
Materials Scientists,7750,101570,
Art Directors,36210,101170,
Veterinarians,67650,100560,
Marine Engineers and Naval Architects,8120,99860,
Construction Managers,249650,99510,
"Engineers, All Other",123390,99250,
Administrative Services Managers,266280,98930,
Electrical Engineers,183770,98620,
"Physical Scientists, All Other",18960,98460,
Financial Analysts,281610,97640,
"Transportation, Storage, and Distribution Managers",113270,97630,
"Physics Teachers, Postsecondary",14160,97520,
Materials Engineers,26800,97050,
"Business Teachers, Postsecondary",83030,96770,
"Agricultural Sciences Teachers, Postsecondary",10340,96630,
Information Security Analysts,96870,96040,
"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",10850,95900,
"Education Administrators, Elementary and Secondary School",242970,95390,
"Administrative Law Judges, Adjudicators, and Hearing Officers",14540,95240,
"Medical Scientists, Except Epidemiologists",108870,95000,
Atmospheric and Space Scientists,9800,94840,
"Psychologists, All Other",13310,94650,
Biochemists and Biophysicists,29200,94340,
"Political Science Teachers, Postsecondary",16720,94090,
Producers and Directors,114510,93840,
"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",328370,92910,
"Architecture Teachers, Postsecondary",7370,92890,
"Anthropology and Archeology Teachers, Postsecondary",5700,91940,
Management Analysts,637690,91910,
Computer Systems Analysts,568960,91620,
Nuclear Power Reactor Operators,7170,91370,
"Forestry and Conservation Science Teachers, Postsecondary",1750,90480,
"Biological Science Teachers, Postsecondary",50820,90420,
"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",25410,90190,
Biomedical Engineers,20590,89970,
Mechanical Engineers,285790,89800,
Civil Engineers,287800,89730,
"Computer Science Teachers, Postsecondary",32540,89670,
"Chemistry Teachers, Postsecondary",21250,89320,
Funeral Service Managers,8370,88970,
Financial Examiners,49750,88940,
"Computer Occupations, All Other",261210,88880,
"Environmental Science Teachers, Postsecondary",5520,88880,
Environmental Engineers,52280,88530,
Industrial Engineers,256550,88530,
First-Line Supervisors of Police and Detectives,100200,88400,
Physical Therapists,216920,87220,
Database Administrators,113730,87130,
Sociologists,2870,86840,
"Agents and Business Managers of Artists, Performers, and Athletes",13470,86560,
Commercial Pilots,38980,86260,
"Social Sciences Teachers, Postsecondary, All Other",13320,85950,
First-Line Supervisors of Non-Retail Sales Workers,252670,85830,
Computer Programmers,271200,85180,
Statisticians,33440,85160,
Radiation Therapists,17450,84980,
"Health Diagnosing and Treating Practitioners, All Other",36280,84800,
"Geography Teachers, Postsecondary",4140,84660,
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",9060,84590,
Network and Computer Systems Administrators,376820,84500,
"Architects, Except Landscape and Naval",99860,84470,
"Psychology Teachers, Postsecondary",37640,84440,
"Education Administrators, All Other",34140,84400,
Operations Research Analysts,109150,84340,
Hydrologists,6300,83740,
Athletes and Sports Competitors,10260,83730,
Occupational Therapists,118070,83730,
"Life Scientists, All Other",7890,83150,
"Mathematical Science Teachers, Postsecondary",52020,82650,
Film and Video Editors,29880,82190,
"Sociology Teachers, Postsecondary",14580,81600,
"Captains, Mates, and Pilots of Water Vessels",36720,81520,
Power Distributors and Dispatchers,11380,81500,
Detectives and Criminal Investigators,104980,81490,
Chiropractors,32960,81210,
Credit Analysts,72930,81160,
"Art, Drama, and Music Teachers, Postsecondary",99020,81050,
"History Teachers, Postsecondary",21800,80880,
"Social Scientists and Related Workers, All Other",36380,80860,
Chemists,86660,80820,
Gaming Managers,4280,79690,
Real Estate Brokers,40850,79340,
Audiologists,12310,79290,
"Clinical, Counseling, and School Psychologists",107980,78690,
Speech-Language Pathologists,135980,78210,
Broadcast News Analysts,5070,78200,
Emergency Management Directors,9570,78060,
"Biological Scientists, All Other",35110,77830,
Nuclear Technicians,6840,77820,
Logisticians,146060,77810,
Epidemiologists,5690,77720,
"Mathematical Science Occupations, All Other",2000,77550,
"Philosophy and Religion Teachers, Postsecondary",23180,77420,
Agricultural Engineers,1980,77330,
Budget Analysts,54700,77170,
First-Line Supervisors of Fire Fighting and Prevention Workers,57170,77050,
Elevator Installers and Repairers,22240,76860,
Microbiologists,21670,76850,
Accountants and Auditors,1246540,76730,
"Media and Communication Equipment Workers, All Other",18620,76500,
Fashion Designers,19230,76480,
Loan Officers,305700,76260,
"Financial Specialists, All Other",123270,76230,
"English Language and Literature Teachers, Postsecondary",71270,76140,
Nuclear Medicine Technologists,19650,75960,
"Farmers, Ranchers, and Other Agricultural Managers",4560,75790,
Insurance Underwriters,91650,75480,
"Environmental Scientists and Specialists, Including Health",84250,75360,
"Nursing Instructors and Teachers, Postsecondary",56210,75030,
Genetic Counselors,2720,74960,
"Business Operations Specialists, All Other",958670,74870,
"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",23060,74540,
"Communications Teachers, Postsecondary",28180,74360,
"Social Work Teachers, Postsecondary",11860,74280,
Ship Engineers,9750,74120,
Geographers,1370,74090,
"Postsecondary Teachers, All Other",194870,73990,
Power Plant Operators,35010,73800,
"Foreign Language and Literature Teachers, Postsecondary",28720,73750,
Dental Hygienists,204990,73440,
Technical Writers,49780,73160,
Urban and Regional Planners,34810,73060,
Animal Scientists,2470,72890,
"Home Economics Teachers, Postsecondary",2970,72790,
"Arbitrators, Mediators, and Conciliators",6300,72730,
Transportation Inspectors,27430,72650,
Occupational Health and Safety Specialists,76630,72480,
"Library Science Teachers, Postsecondary",4870,72340,
Multimedia Artists and Animators,29810,72200,
Registered Nurses,2857180,72180,
Web Developers,129540,72150,
Postmasters and Mail Superintendents,14720,71980,
Writers and Authors,44690,71920,
Diagnostic Medical Sonographers,65790,71750,
"Makeup Artists, Theatrical and Performance",3600,71590,
Food Scientists and Technologists,14200,71270,
Aerospace Engineering and Operations Technicians,11970,71070,
Commercial and Industrial Designers,31860,70880,
Social and Community Service Managers,126230,70870,
Market Research Analysts and Marketing Specialists,558630,70620,
