occupation,workersTotal,medianEarnings,workersMen,medianEarningsMen,workersWomen,medianEarningsWomen,genderEarningsDiff
"Media and communication equipment workers, all other",5,-,3,-,2,-,#VALUE!
Recreational therapists,5,-,1,-,3,-,#VALUE!
Exercise physiologists,5,-,1,-,3,-,#VALUE!
Nurse midwives,5,-,0,-,5,-,#VALUE!
Fish and game wardens,5,-,5,-,0,-,#VALUE!
"Communications equipment operators, all other",5,-,4,-,2,-,#VALUE!
Brokerage clerks,5,-,2,-,3,-,#VALUE!
Helpers--extraction workers,5,-,5,-,1,-,#VALUE!
"Milling and planing machine setters, operators, and tenders, metal and plastic",5,-,3,-,2,-,#VALUE!
"Multiple machine tool setters, operators, and tenders, metal and plastic",5,-,4,-,1,-,#VALUE!
"Furnace, kiln, oven, drier, and kettle operators and tenders",5,-,5,-,0,-,#VALUE!
Etchers and engravers,5,-,3,-,2,-,#VALUE!
"Railroad brake, signal, and switch operators",5,-,5,-,0,-,#VALUE!
Bridge and lock tenders,5,-,3,-,2,-,#VALUE!
Atmospheric and space scientists,6,-,4,-,2,-,#VALUE!
Nuclear technicians,6,-,4,-,2,-,#VALUE!
Transit and railroad police,6,-,4,-,2,-,#VALUE!
Correspondence clerks,6,-,0,-,5,-,#VALUE!
Proofreaders and copy markers,6,-,2,-,4,-,#VALUE!
Septic tank servicers and sewer pipe cleaners,6,-,6,-,0,-,#VALUE!
Wind turbine service technicians,6,-,6,-,0,-,#VALUE!
"Textile cutting machine setters, operators, and tenders",6,-,2,-,4,-,#VALUE!
Hoist and winch operators,6,-,6,-,0,-,#VALUE!
"Tank car, truck, and ship loaders",6,-,6,-,0,-,#VALUE!
Marine engineers and naval architects,7,-,7,-,0,-,#VALUE!
Nuclear engineers,7,-,7,-,0,-,#VALUE!
Podiatrists,7,-,3,-,4,-,#VALUE!
Solar photovoltaic installers,7,-,7,-,0,-,#VALUE!
Avionics technicians,7,-,7,-,0,-,#VALUE!
"Food and tobacco roasting, baking, and drying machine operators and tenders",7,-,4,-,3,-,#VALUE!
"Drilling and boring machine tool setters, operators, and tenders, metal and plastic",7,-,7,-,0,-,#VALUE!
"Tool grinders, filers, and sharpeners",7,-,7,-,0,-,#VALUE!
"Ushers, lobby attendants, and ticket takers",8,-,6,-,2,-,#VALUE!
Food cooking machine operators and tenders,8,-,3,-,5,-,#VALUE!
Print binding and finishing workers,8,-,4,-,4,-,#VALUE!
Furniture finishers,8,-,7,-,1,-,#VALUE!
"Ambulance drivers and attendants, except emergency medical technicians",8,-,7,-,1,-,#VALUE!
Funeral service managers,9,-,4,-,5,-,#VALUE!
Dancers and choreographers,9,-,4,-,5,-,#VALUE!
"Forging machine setters, operators, and tenders, metal and plastic",9,-,8,-,1,-,#VALUE!
"Rolling machine setters, operators, and tenders, metal and plastic",9,-,6,-,2,-,#VALUE!
"Subway, streetcar, and other rail transportation workers",9,-,7,-,2,-,#VALUE!
Emergency management directors,10,-,4,-,7,-,#VALUE!
"Buyers and purchasing agents, farm products",10,-,6,-,4,-,#VALUE!
Rail-track laying and maintenance equipment operators,10,-,10,-,0,-,#VALUE!
"Cleaning, washing, and metal pickling equipment operators and tenders",10,-,8,-,2,-,#VALUE!
Tire builders,10,-,10,-,0,-,#VALUE!
Chiropractors,11,-,9,-,2,-,#VALUE!
Radiation therapists,11,-,3,-,8,-,#VALUE!
Gaming cage workers,11,-,0,-,11,-,#VALUE!
"Electronic equipment installers and repairers, motor vehicles",11,-,11,-,0,-,#VALUE!
Signal and track switch repairers,11,-,11,-,0,-,#VALUE!
"Layout workers, metal and plastic",11,-,11,-,0,-,#VALUE!
"Mining and geological engineers, including mining safety engineers",12,-,10,-,1,-,#VALUE!
Animal control workers,12,-,8,-,4,-,#VALUE!
"Paving, surfacing, and tamping equipment operators",12,-,12,-,0,-,#VALUE!
"Explosives workers, ordnance handling experts, and blasters",12,-,12,-,0,-,#VALUE!
"Textile winding, twisting, and drawing out machine setters, operators, and tenders",12,-,4,-,8,-,#VALUE!
Geological and petroleum technicians,13,-,9,-,4,-,#VALUE!
Judicial law clerks,13,-,7,-,6,-,#VALUE!
Audiologists,13,-,1,-,12,-,#VALUE!
Occupational therapy assistants and aides,13,-,1,-,11,-,#VALUE!
Reinforcing iron and rebar workers,13,-,13,-,0,-,#VALUE!
Riggers,13,-,13,-,0,-,#VALUE!
Prepress technicians and workers,13,-,8,-,4,-,#VALUE!
"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",13,-,10,-,3,-,#VALUE!
Legislators,14,-,5,-,9,-,#VALUE!
Cargo and freight agents,14,-,10,-,4,-,#VALUE!
"Meter readers, utilities",14,-,12,-,2,-,#VALUE!
Agricultural inspectors,14,-,10,-,4,-,#VALUE!
"Electrical and electronics repairers, industrial and utility",14,-,14,-,0,-,#VALUE!
Engine and other machine assemblers,14,-,11,-,2,-,#VALUE!
"Lathe and turning machine tool setters, operators, and tenders, metal and plastic",14,-,13,-,1,-,#VALUE!
Financial examiners,15,-,8,-,7,-,#VALUE!
"Health diagnosing and treating practitioners, all other",15,-,3,-,12,-,#VALUE!
Embalmers and funeral attendants,15,-,8,-,7,-,#VALUE!
Boilermakers,15,-,15,-,0,-,#VALUE!
Miscellaneous construction and related workers,15,-,14,-,1,-,#VALUE!
"Helpers--installation, maintenance, and repair workers",15,-,14,-,2,-,#VALUE!
Compensation and benefits managers,16,-,5,-,11,-,#VALUE!
Biomedical engineers,16,-,11,-,4,-,#VALUE!
Astronomers and physicists,16,-,15,-,1,-,#VALUE!
Library technicians,16,-,2,-,14,-,#VALUE!
"Models, demonstrators, and product promoters",16,-,4,-,12,-,#VALUE!
"Switchboard operators, including answering service",16,-,3,-,12,-,#VALUE!
"Plating and coating machine setters, operators, and tenders, metal and plastic",16,-,14,-,2,-,#VALUE!
"Woodworking machine setters, operators, and tenders, except sawing",16,-,12,-,4,-,#VALUE!
Air traffic controllers and airfield operations specialists,16,-,11,-,5,-,#VALUE!
Natural sciences managers,17,-,10,-,7,-,#VALUE!
Actors,17,-,11,-,6,-,#VALUE!
Statistical assistants,17,-,7,-,10,-,#VALUE!
"Earth drillers, except oil and gas",17,-,17,-,0,-,#VALUE!
"Textile knitting and weaving machine setters, operators, and tenders",17,-,8,-,9,-,#VALUE!
"Extruding and drawing machine setters, operators, and tenders, metal and plastic",18,-,17,-,1,-,#VALUE!
Optometrists,19,-,6,-,13,-,#VALUE!
"Pressers, textile, garment, and related materials",19,-,10,-,9,-,#VALUE!
"Textile, apparel, and furnishings workers, all other",19,-,10,-,9,-,#VALUE!
"Woodworkers, all other",19,-,15,-,4,-,#VALUE!
Sailors and marine oilers,19,-,19,-,0,-,#VALUE!
Pumping station operators,19,-,19,-,0,-,#VALUE!
Locksmiths and safe repairers,20,-,18,-,2,-,#VALUE!
Other transportation workers,20,-,19,-,1,-,#VALUE!
Medical transcriptionists,21,-,3,-,18,-,#VALUE!
Tour and travel guides,21,-,14,-,6,-,#VALUE!
Fishers and related fishing workers,21,-,21,-,0,-,#VALUE!
Automotive glass installers and repairers,21,-,21,-,0,-,#VALUE!
"Transportation attendants, except flight attendants",21,-,11,-,10,-,#VALUE!
Fire inspectors,22,-,22,-,0,-,#VALUE!
"Morticians, undertakers, and funeral directors",22,-,19,-,3,-,#VALUE!
Upholsterers,22,-,18,-,4,-,#VALUE!
Gaming managers,23,-,17,-,6,-,#VALUE!
Postmasters and mail superintendents,23,-,13,-,10,-,#VALUE!
"Agents and business managers of artists, performers, and athletes",23,-,8,-,15,-,#VALUE!
Computer and information research scientists,23,-,13,-,9,-,#VALUE!
Actuaries,23,-,16,-,7,-,#VALUE!
Petroleum engineers,23,-,17,-,6,-,#VALUE!
Biological technicians,23,-,8,-,15,-,#VALUE!
Crossing guards,23,-,17,-,6,-,#VALUE!
Animal trainers,23,-,16,-,7,-,#VALUE!
"Metal furnace operators, tenders, pourers, and casters",23,-,20,-,3,-,#VALUE!
Photographic process workers and processing machine operators,23,-,16,-,7,-,#VALUE!
"Entertainers and performers, sports and related workers, all other",24,-,10,-,13,-,#VALUE!
Announcers,24,-,18,-,7,-,#VALUE!
Plasterers and stucco masons,24,-,24,-,0,-,#VALUE!
"Coin, vending, and amusement machine servicers and repairers",24,-,23,-,1,-,#VALUE!
Jewelers and precious stone and metal workers,24,-,20,-,5,-,#VALUE!
Agricultural and food scientists,25,-,14,-,10,-,#VALUE!
Pharmacy aides,25,-,11,-,14,-,#VALUE!
Forest and conservation workers,25,-,23,-,2,-,#VALUE!
Control and valve installers and repairers,25,-,25,-,0,-,#VALUE!
"Maintenance workers, machinery",25,-,25,-,0,-,#VALUE!
Structural metal fabricators and fitters,25,-,24,-,1,-,#VALUE!
"Molders, shapers, and casters, except metal and plastic",25,-,21,-,4,-,#VALUE!
Conservation scientists and foresters,26,-,15,-,11,-,#VALUE!
Fence erectors,26,-,25,-,1,-,#VALUE!
Small engine mechanics,26,-,26,-,0,-,#VALUE!
Home appliance repairers,26,-,26,-,0,-,#VALUE!
"Sawing machine setters, operators, and tenders, wood",26,-,26,-,0,-,#VALUE!
Credit analysts,27,-,13,-,15,-,#VALUE!
Miscellaneous social scientists and related workers,27,-,18,-,9,-,#VALUE!
Residential advisors,27,-,10,-,17,-,#VALUE!
"Office machine operators, except computer",27,-,10,-,17,-,#VALUE!
Hazardous materials removal workers,27,-,20,-,6,-,#VALUE!
"Derrick, rotary drill, and service unit operators, oil, gas, and mining",27,-,27,-,0,-,#VALUE!
"Paper goods machine setters, operators, and tenders",28,-,23,-,5,-,#VALUE!
Economists,29,-,18,-,12,-,#VALUE!
Procurement clerks,29,-,14,-,15,-,#VALUE!
Ship and boat captains and operators,29,-,29,-,0,-,#VALUE!
"Dredge, excavating, and loading machine operators",29,-,28,-,1,-,#VALUE!
Machine feeders and offbearers,29,-,14,-,15,-,#VALUE!
"Surveyors, cartographers, and photogrammetrists",30,-,25,-,5,-,#VALUE!
