occupation,totalJobs,field
Chief executives,1639,"Management, professional, and related occupations"
General and operations managers,1005,"Management, professional, and related occupations"
Legislators,18,"Management, professional, and related occupations"
Advertising and promotions managers,61,"Management, professional, and related occupations"
Marketing and sales managers,1078,"Management, professional, and related occupations"
Public relations and fundraising managers,73,"Management, professional, and related occupations"
Administrative services managers,151,"Management, professional, and related occupations"
Computer and information systems managers,630,"Management, professional, and related occupations"
Financial managers,1167,"Management, professional, and related occupations"
Compensation and benefits managers,16,"Management, professional, and related occupations"
Human resources managers,327,"Management, professional, and related occupations"
Training and development managers,63,"Management, professional, and related occupations"
Industrial production managers,280,"Management, professional, and related occupations"
Purchasing managers,205,"Management, professional, and related occupations"
"Transportation, storage, and distribution managers",291,"Management, professional, and related occupations"
"Farmers, ranchers, and other agricultural managers",1018,"Management, professional, and related occupations"
Construction managers,1081,"Management, professional, and related occupations"
Education administrators,918,"Management, professional, and related occupations"
Architectural and engineering managers,129,"Management, professional, and related occupations"
Food service managers,1210,"Management, professional, and related occupations"
Funeral service managers,15,"Management, professional, and related occupations"
Gaming managers,19,"Management, professional, and related occupations"
Lodging managers,156,"Management, professional, and related occupations"
Medical and health services managers,671,"Management, professional, and related occupations"
Natural sciences managers,16,"Management, professional, and related occupations"
Postmasters and mail superintendents,27,"Management, professional, and related occupations"
"Property, real estate, and community association managers",743,"Management, professional, and related occupations"
Social and community service managers,390,"Management, professional, and related occupations"
Emergency management directors,11,"Management, professional, and related occupations"
"Agents and business managers of artists, performers, and athletes",50,"Management, professional, and related occupations"
"Buyers and purchasing agents, farm products",11,"Management, professional, and related occupations"
"Wholesale and retail buyers, except farm products",194,"Management, professional, and related occupations"
"Purchasing agents, except wholesale, retail, and farm products",270,"Management, professional, and related occupations"
"Claims adjusters, appraisers, examiners, and investigators",350,"Management, professional, and related occupations"
Compliance officers,260,"Management, professional, and related occupations"
Cost estimators,118,"Management, professional, and related occupations"
Human resources workers,736,"Management, professional, and related occupations"
"Compensation, benefits, and job analysis specialists",59,"Management, professional, and related occupations"
Training and development specialists,133,"Management, professional, and related occupations"
Logisticians,112,"Management, professional, and related occupations"
Management analysts,937,"Management, professional, and related occupations"
"Meeting, convention, and event planners",137,"Management, professional, and related occupations"
Fundraisers,84,"Management, professional, and related occupations"
Market research analysts and marketing specialists,344,"Management, professional, and related occupations"
"Business operations specialists, all other",273,"Management, professional, and related occupations"
Accountants and auditors,1804,"Management, professional, and related occupations"
Appraisers and assessors of real estate,97,"Management, professional, and related occupations"
Budget analysts,53,"Management, professional, and related occupations"
Credit analysts,29,"Management, professional, and related occupations"
Financial analysts,309,"Management, professional, and related occupations"
Personal financial advisors,525,"Management, professional, and related occupations"
Insurance underwriters,104,"Management, professional, and related occupations"
Financial examiners,15,"Management, professional, and related occupations"
Credit counselors and loan officers,353,"Management, professional, and related occupations"
"Tax examiners and collectors, and revenue agents",65,"Management, professional, and related occupations"
Tax preparers,107,"Management, professional, and related occupations"
"Financial specialists, all other",45,"Management, professional, and related occupations"
Computer and information research scientists,24,"Management, professional, and related occupations"
Computer systems analysts,554,"Management, professional, and related occupations"
Information security analysts,105,"Management, professional, and related occupations"
Computer programmers,473,"Management, professional, and related occupations"
Software developers,1536,"Management, professional, and related occupations"
Web developers,204,"Management, professional, and related occupations"
Computer support specialists,532,"Management, professional, and related occupations"
Database administrators,96,"Management, professional, and related occupations"
Network and computer systems administrators,210,"Management, professional, and related occupations"
Computer network architects,106,"Management, professional, and related occupations"
Actuaries,29,"Management, professional, and related occupations"
Mathematicians,3,"Management, professional, and related occupations"
Operations research analysts,147,"Management, professional, and related occupations"
Statisticians,87,"Management, professional, and related occupations"
"Architects, except naval",253,"Management, professional, and related occupations"
"Surveyors, cartographers, and photogrammetrists",43,"Management, professional, and related occupations"
Aerospace engineers,148,"Management, professional, and related occupations"
Agricultural engineers,2,"Management, professional, and related occupations"
Biomedical engineers,17,"Management, professional, and related occupations"
Chemical engineers,77,"Management, professional, and related occupations"
Civil engineers,461,"Management, professional, and related occupations"
Computer hardware engineers,80,"Management, professional, and related occupations"
Electrical and electronics engineers,284,"Management, professional, and related occupations"
Environmental engineers,38,"Management, professional, and related occupations"
"Industrial engineers, including health and safety",221,"Management, professional, and related occupations"
Marine engineers and naval architects,12,"Management, professional, and related occupations"
Materials engineers,32,"Management, professional, and related occupations"
Mechanical engineers,344,"Management, professional, and related occupations"
"Mining and geological engineers, including mining safety engineers",11,"Management, professional, and related occupations"
Nuclear engineers,8,"Management, professional, and related occupations"
Petroleum engineers,24,"Management, professional, and related occupations"
